I congratulate Mrs Bauer and Mrs Hedh on their excellent work : the text adopted today will make the sanctions against traffickers tougher ; it will provide greater protection for victims and will strengthen prevention .	Аз поздравявам г-жа Bauer и г-жа Hedh за тяхната отлична работа : приетият днес текст ще направи наказанията против трафикантите по-строги ; той ще осигури по-добра защита за жертвите и ще засили превенцията .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 14-12 15-13 13-14 16-15 17-16 19-17 20-18 21-19 22-20 23-21 24-22 25-23 26-24 27-25 28-26 29-27 30-28 31-29 32-30 33-31 34-32 35-33
However , as long as electoral systems are contests between selected groups of candidates for predictable seats with no real chance for other candidates to be elected , there is no equal opportunity .	Но докато избирателните системи представляват състезания между избрани групи от кандидати за предвидими места , без реален шанс да бъдат избрани други кандидати , няма равни възможности .	0-0 1-0 2-1 3-1 4-1 5-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13 17-15 18-15 19-16 20-17 24-18 25-19 26-20 22-21 23-22 27-23 28-24 29-24 30-24 31-25 32-26 33-27
The Group of the European People 's Party ( Christian Democrats ) , to which I belong , decided to endorse the Commission , to enable the European Union to work efficiently .	Групата на Европейската народна партия ( Християндемократи ) , към която принадлежа , реши да одобри Комисията , за да може Европейският съюз да заработи ефективно .	0-0 1-0 2-1 3-2 4-2 5-3 6-3 7-4 8-5 9-6 10-6 11-7 12-8 13-9 14-10 15-11 16-11 17-12 18-13 19-14 20-15 21-16 22-16 23-17 24-19 25-20 26-21 27-21 28-22 29-23 30-24 31-25 32-26
They have to work hard to achieve an understanding between 27 Member States , to reflect Europe 's unity and willingness to overcome the crisis and preserve the essence of European integration .	Те трябва да работят усилено за постигане на разбирателство между 27 държави-членки , да отразят единството на Европа и желанието за превъзмогване на кризата и запазване на същността на европейската интеграция .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-11 13-12 14-13 15-14 18-15 17-16 16-17 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 32-31
These reports call for the EU to develop its own armed forces by means of common weapons procurement , a common communication system and an autonomous common command and control structure .	Тези доклади призовават ЕС да развие собствени въоръжени сили чрез общи поръчки за оръжия , обща комуникационна система и самостоятелна обща структура за командване и контрол .	0-0 1-1 2-2 3-2 4-3 5-3 6-4 7-5 8-6 9-6 10-7 11-8 12-9 13-9 15-10 17-11 14-12 16-13 18-14 19-15 20-15 21-16 22-17 23-18 24-19 25-19 26-20 30-21 27-23 28-24 29-25 31-26
Madam President , that is not right , because the Sahrawi are a courageous but mild-mannered people , they live their religion in the right way and their women have important roles in society .	Г-жо председател , това не е правилно , защото сахрави са смели , но кротки хора , те живеят правилно според своята религия и жените им имат важна роля в обществото .	0-0 1-1 2-2 3-3 5-4 4-5 6-6 7-7 8-8 10-9 11-10 13-11 14-13 15-14 16-15 17-16 18-17 19-18 24-19 25-19 22-20 20-21 21-22 26-23 28-24 27-25 29-26 30-27 31-28 32-29 33-30 34-31
The Commission is keen to ensure synergies between the two agencies , notably through exchanges of information , joint work programmes , the joint organisation of conferences and seminars , and joint projects .	Комисията се стреми да осигури взаимодействие между двете агенции , по-специално чрез обмен на информация , съвместни работни програми , съвместно организиране на конференции и семинари , и съвместни проекти .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 23-20 24-21 25-22 26-23 27-24 28-25 29-26 30-27 31-28 32-29 33-30
As you well know , Parliament and the Council have to assess it at second reading , but the European Commission intends to seize back the policy initiative and reinvigorate it .	Както добре знаете , Парламентът и Съветът трябва да го оценят на второ четене , но Европейската комисия възнамерява да използва отново политическата инициатива и да го съживи .	0-0 2-1 1-2 3-2 4-3 5-4 6-5 7-6 8-6 9-7 10-8 12-9 11-10 13-11 14-12 15-13 16-14 17-15 18-16 19-16 20-17 21-18 22-19 23-20 24-21 26-22 27-23 28-24 30-26 29-27 31-28
Either Member States need to exchange information more efficiently with the external service and the European Union , or the European Union needs to have its own information and analysis channels .	Или страните-членки трябва по-ефективно да обменят информация с външната служба и с Европейския съюз , или Европейският съюз трябва да има собствени канали за информация и анализ .	0-0 1-1 2-1 3-2 7-3 8-3 4-4 5-5 6-6 9-7 11-8 12-9 13-10 14-12 15-12 16-13 17-14 18-15 19-16 20-16 21-17 22-18 23-19 24-20 25-21 26-21 30-22 27-24 28-25 29-26 31-27
We hosted a donors ' conference for reconstruction and economic support in Georgia and we included Georgia - together with Armenia and Azerbaijan - in the European Neighbourhood Policy .	Бяхме домакини на донорската конференция за възстановяване и икономическа подкрепа в Грузия и включихме Грузия - заедно с Армения и Азербайджан - в Европейската политика на съседство .	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 25-23 26-23 28-24 27-26 29-27
I would like to make one point quite clear : if we are not careful , something irretrievable will be destroyed and future generations will damn us for it .	Искам да изясня напълно един момент : ако не сме внимателни , нещо невъзстановимо ще бъде унищожено и бъдещите поколения ще ни проклинат за това .	0-0 1-0 2-0 3-1 4-2 8-2 7-3 5-4 6-5 9-6 10-7 13-8 11-9 12-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 26-21 25-22 27-23 28-24 29-25
The European Central Bank ( ECB ) has acted as an anchor in this situation , filling some of the gaps , particularly in terms of the vulnerability of sovereign debt .	Европейската централна банка ( ЕЦБ ) действа като котва в тази ситуация , като запълва някои празнини , по-специално по отношение на уязвимостта на държавния дълг .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-6 9-7 10-8 11-8 12-9 13-10 14-11 15-12 16-14 17-15 20-16 21-17 22-18 23-19 24-20 25-21 26-21 27-22 28-23 29-24 30-25 31-26
My Iraqi Christian friends and our Palestinian Christian friends are Arabs , think in Arabic , love their country , love that mentality and love their history and culture .	Моите иракски приятели християни и нашите палестински приятели християни са араби , мислят на арабски , обичат страната си , обичат този манталитет и обичат своята история и култура .	0-0 1-1 3-2 2-3 4-4 5-5 6-6 8-7 7-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 18-17 17-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-29
The solution , ladies and gentlemen , does not lie in greater divergences between our budgets , our labour laws and our taxation rates , but in greater convergence .	Решението , госпожи и господа , не е в по-големи различия между нашите бюджети , в нашето трудово законодателство и в нашите данъчни ставки , а в по-голямо сближаване .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-16 18-17 19-18 20-19 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-29
It comprises 28 key actions and concrete measures to increase the education and training of young people through mobility and ease their transition from education into the labour market .	Тя съдържа 28 ключови действия и конкретни мерки за подобряване на образованието и обучението на младите хора чрез мобилност и улесняване на прехода от образованието към пазара на труда .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-20 22-22 23-23 24-24 25-25 28-26 26-27 27-28 29-29
This nuance means that there is not just a single energy source , but rather that we will continue for a long time to work with several sources .	Този нюанс означава че няма само един единствен източник на енергия , а че за дълго време ще продължим да работим с няколко източници .	0-0 1-1 2-2 3-3 4-4 5-4 6-4 7-5 8-6 9-7 11-8 10-10 12-11 13-12 14-12 15-13 19-14 20-15 21-15 22-16 17-17 16-18 18-18 23-19 24-20 25-21 26-22 27-23 28-24
Mr President , ladies and gentlemen , I would like to thank Mr Tarabella for his excellent report on equality between women and men in the European Union .	Г-н председател , госпожи и господа , бих искала да благодаря на г-н Tarabella за отличния му доклад относно равенството между жените и мъжете в Европейския съюз .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 10-9 11-10 12-12 13-13 14-14 16-15 15-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-25 27-26 28-27
Mr Cashman and I have always worked very well together , but this time we did not have enough time to sort out all of the issues that were unclear .	Г-н Cashman и аз винаги сме работили много добре заедно , но този път нямахме достатъчно време да решим всички спорни неясни въпроси .	0-0 1-1 2-2 3-3 5-4 4-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-14 16-14 17-14 18-15 19-16 20-17 21-18 22-18 23-19 28-20 29-21 26-22 30-23
Madam President , ladies and gentlemen , the Group of the European People 's Party ( Christian Democrats ) is advocating budgetary stringency , transparency and sustainability .	Г-жо председател , госпожи и господа , групата на Европейската народна партия ( Християндемократи ) се обявява в защита на бюджетната строгост , прозрачност и устойчивост .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 10-9 11-9 12-10 13-10 14-11 15-12 16-13 17-13 18-14 19-15 20-16 21-20 22-21 23-22 24-23 25-24 26-25 27-26
There are many bureaucratic regulations in this area and it is often particularly difficult for small and medium-sized businesses to take part in the public procurement process .	В тази област има много бюрократични наредби и често за малките и средните предприятия е особено трудно да вземат участие в процедурите по възлагане на обществени поръчки .	5-0 6-1 7-2 0-3 1-3 2-4 3-5 4-6 8-7 11-8 14-9 15-10 16-11 17-12 18-13 9-14 10-14 12-15 13-16 19-17 20-18 21-19 22-20 26-23 23-24 24-25 25-26 27-27
This report , for which I voted , advocates the need for Member States to create accounting systems that fully and consistently cover all sectors of public administration .	Докладът , за който гласувах , защитава необходимостта държавите-членки да създадат счетоводни системи , които цялостно и последователно да обхванат всички сектори на публичната администрация .	0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-5 8-6 10-7 11-7 12-8 13-8 14-9 15-10 16-11 17-12 18-14 19-15 20-16 21-17 22-19 23-20 24-21 25-22 26-23 27-24 28-25
We have taken measures to save the financial institutions , not because we particularly like them as such , but because , without them , there is no economy .	Взехме мерки да спасим финансовите институции - не защото ги харесваме особено като такива , а защото без тях няма икономика .	0-0 1-0 2-0 3-1 4-2 5-3 7-4 8-5 9-6 10-7 11-8 15-9 12-10 14-10 13-11 16-12 17-13 18-14 19-15 20-16 22-17 23-18 25-19 26-19 27-19 28-20 29-21
This vote is a victory for the Group of the Progressive Alliance of Socialists and Democrats in the European Parliament and all workers in the European Union .	Това гласуване е победа за групата на Прогресивния алианс на социалистите и демократите в Европейският парламент и за всички работници в Европейския съюз .	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-5 8-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13 17-14 18-14 19-15 20-16 21-18 22-19 23-20 24-21 25-21 26-22 27-23
In all of our declarations , we call for agreements with states such as Brazil , India and others on halting the felling of the rain forests .	Във всичките си изявления призоваваме за споразумения с държави като Бразилия , Индия и други относно спиране на изсичането на тропическите гори .	0-0 1-1 3-2 4-3 6-4 7-4 8-5 9-6 10-7 11-8 12-9 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-19 25-20 26-21 27-22
Our common task is to continue to ensure peace and prosperity , to make our union an even more attractive place to live and work in .	Общата ни задача е да продължим да осигуряваме мир и просперитет , да превърнем нашия съюз в още по-привлекателно място за живеене и работа .	1-0 0-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 25-16 17-17 18-18 19-18 20-19 21-20 22-21 23-22 24-23 26-24
This throng of Europeans continues to maintain , largely through national budgets , 2 000 embassies , 27 armies , 50 joint forces and more .	Това множество от европейци продължава да поддържа , основно чрез националните бюджети , 2 000 посолства , 27 армии , 50 обединени сили и други .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25
In conclusion , I would like particularly to thank the rapporteurs Mr Albertini and Mr Teychenné for their excellent work and carefully drafted report .	В заключение , бих искал по-специално да благодаря на докладчиците г-н Albertini и г-н Teychenné за тяхната отлична работа и внимателно изготвен доклад .	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23
I would like to thank the rapporteur , Mrs Muscardini , for her dedication in support of our proposal and for her hard work .	Аз бих искал да благодаря на докладчика , г-жа Muscardini , за нейната отдаденост в подкрепата на нашето предложение и за упоритата й работа .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 22-21 21-22 23-23 24-24
