Amendments Nos 15 , 16 , 17 and 18 , which were introduced at a late stage , propose rates of 5 % and 10 % for products and 15 % for tobacco and are not acceptable to the Commission .	Ændringsforslag 15 , 16 , 17 og 18 , der blev indført på et sent tidspunkt , foreslår satser på 5 % og 10 % for produkter og 15 % for tobak og er ikke acceptable for Kommissionen .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 32-31 33-32 34-33 35-34 36-35 37-36 38-37 39-37 40-38
A Finnish national , for example , will have more rights in the Greek-Cypriot state than a Turkish Cypriot and a Portuguese national will have more rights in the Turkish-Cypriot state than a Greek Cypriot .	En finsk statsborger vil f.eks. have flere rettigheder i den græsk-cypriotiske stat end en tyrkisk cypriot , og en portugisisk statsborger vil have flere rettigheder i den tyrkisk-cypriotiske stat end en græsk cypriot .	0-0 1-1 2-2 7-3 3-4 4-4 5-4 6-4 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13 17-14 18-15 19-17 20-18 21-19 22-20 23-21 24-22 25-23 26-24 27-25 28-26 29-27 30-28 31-29 32-30 33-31 34-32 35-33
For this reason we can accept Amendment No 44 in principle , which requires the Commission to consider a range of economic instruments and report back to Parliament and the Council .	Vi kan derfor i princippet acceptere ændringsforslag 44 , ifølge hvilket Kommissionen skal overveje en række økonomiske instrumenter og rapportere tilbage til Parlamentet og Rådet .	3-0 4-1 0-2 1-2 2-2 9-3 10-4 5-5 6-6 7-6 8-7 11-8 13-9 12-10 14-11 15-11 16-12 17-13 18-14 19-15 20-15 21-16 22-17 23-18 24-19 25-20 26-21 27-22 28-23 29-24 30-24 31-25
That information could provide a much more up-to-date result , and a much more up-to-date and reliable picture of Community agriculture , than many much more expensive and less reliable investigations .	Nævnte data kunne give et meget mere aktuelt resultat , og et meget mere aktuelt og troværdigt billede af Fællesskabets landbrug end mange meget dyrere og mindre troværdige undersøgelser .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 22-21 23-22 24-23 25-24 26-24 27-25 28-26 29-27 30-28 31-29
His attempt only succeeded in part and his greatest media representatives ' moderate ' and support large demonstrations , both electoral and non-electoral , of his political enemies .	Hans forsøg lykkedes kun delvis , og hans største medierepræsentanter " modererer " og støtter store demonstrationer - både valgmæssige og ikke-valgmæssige - af hans politiske fjender .	0-0 1-1 3-2 2-3 4-4 5-4 6-6 7-7 8-8 9-9 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27
To work on a constitution for twenty-five , and soon perhaps thirty , European Member States , is to work on an important part of our common history .	At arbejde på en forfatning for 25 , og snart måske 30 , EU-medlemsstater , er at arbejde med en vigtig del af vores fælles historie .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-13 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 25-23 26-24 27-25 28-26
This is a real problem : there are too many different financial instruments , each with its own characteristics and in particular a series of different budget headings .	Det er et reelt problem : Der er for mange forskellige finansielle instrumenter med hver sine karakteristika samt især en række forskellige budgetposter .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 15-13 14-14 16-15 17-15 18-16 19-17 20-18 21-18 22-19 23-20 24-20 25-21 26-22 27-22 28-23
The public demand more and better information on products and foodstuffs : how and where they are produced , under what conditions and with what ingredients .	Offentligheden kræver flere og bedre oplysninger om produkter og foder : Hvordan og hvor de fremstilles , under hvilke forhold og med hvilke ingredienser .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 25-23 26-24
The fight against ignorance and oppression must be fought at international level , and the Socialist International has therefore launched a worldwide campaign against violence against women .	Kampen mod uvidenhed og undertrykkelse skal føres på internationalt plan , og derfor har Socialistisk Internationale startet en verdensomspændende kampagne mod vold mod kvinder .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-6 9-7 10-8 11-9 12-10 13-11 18-12 17-13 15-14 16-15 19-16 20-17 21-18 22-19 23-20 24-21 25-22 26-23 27-24
The rapporteur has introduced a number of important amendments in her report , but probably among the most important is Amendment No 2 concerning whole-body vibration .	Ordføreren har introduceret en række vigtige ændringsforslag i sin betænkning , men det vigtigste er nok ændringsforslag 2 om helkropsvibrationer .	0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 16-12 15-13 17-13 18-13 19-14 14-15 20-16 21-16 22-17 23-18 24-19 25-19 26-20
