The top priority in this area should be our responsibility to protect people and to make a contribution to preventing and resolving conflicts , as well as reconstruction .	Kõige prioriteetsem selles valdkonnas peaks olema meie vastutus inimesi kaitsta ning aidata kaasa konfliktide vältimisele ja lahendamisele , samuti ülesehitus .	0-0 1-1 2-1 3-2 4-2 5-3 6-4 7-5 8-6 9-7 12-8 10-9 11-9 13-10 14-11 15-11 16-12 17-12 18-12 22-13 19-14 20-15 21-16 23-17 24-18 25-18 26-18 27-19 28-20
As you know , biofuel production is part of the climate package we are debating now , and the sustainable use and development of biofuels are very important issues .	Nagu teate , on biokütuse tootmine osa praegu arutlusel olevast kliimapaketist ning biokütuste jätkusuutlik kasutamine ja arendamine on väga olulised küsimused .	0-0 1-1 2-1 3-2 6-3 4-4 5-5 7-6 8-6 15-7 12-8 13-8 14-8 9-9 10-10 11-10 16-11 17-11 24-12 19-13 20-14 21-15 22-16 23-16 25-17 26-18 27-19 28-20 29-21
This opportunity has allowed all three bodies , the European Parliament , the Council and the Commission , to set ambitious and binding targets for reducing emissions .	See võimalus on lubanud kõigil kolmel organil - Euroopa Parlamendil , nõukogul ja komisjonil - seada ambitsioonikaid ja siduvaid eesmärke heite vähendamiseks .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-8 10-9 11-10 12-11 13-11 14-12 15-13 16-13 17-14 18-15 19-15 20-16 21-17 22-18 23-19 26-20 24-21 25-21 27-22
The European Union is the only organisation , and Mr Barrot knows this very well , that can get Italy and other countries out of this situation .	Euroopa Liit on ainus organisatsioon , ja härra Barrot teab seda väga hästi , mis suudab aidata Itaalia ja teised riigid sellest olukorrast välja .	0-0 1-0 2-1 3-2 4-3 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 24-21 25-21 26-22 23-23 27-24
We already acted promptly in December , and we should like to say to Mr McCreevy , as Mrs Berès did a moment ago , that the lift ...	Me tegutsesime kiiresti juba detsembris ning me tahaksime öelda härra McCreevyle , nagu proua Berès hetk tagasi tegi , et tõsta ...	0-0 2-1 3-2 1-3 4-4 5-4 6-5 7-5 8-6 9-7 10-7 11-8 12-8 13-8 14-9 15-10 16-11 17-12 18-13 19-14 21-15 22-15 23-16 20-17 24-18 25-19 27-20 28-21
In particular , its recommendations seek to improve fiscal discipline , broaden economic monitoring , develop and broaden coordination , strengthen the crisis management framework and strengthen institutions .	Eeskätt püütakse selle soovitustega parandada eelarvedistsipliini , avardada majanduspoliitika järelevalvet , arendada ja laiendada kooskõlastamist , tõhustada kriisiohjeraamistikku ja tugevdada institutsioone .	0-0 1-0 2-0 5-1 3-2 4-3 6-4 7-4 8-5 9-5 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 22-17 23-17 24-17 25-18 26-19 27-20 28-21
By creating new highly qualified and well-paid jobs and through sustainable economic growth , the Lisbon Strategy is also an instrument for building a new social Europe .	Uute kvalifitseeritud ja hästitasustatud töökohtade loomisega ning jätkusuutliku majanduskasvu läbi on Lissaboni strateegia ka uue sotsiaalse Euroopa ehitamise vahend .	2-0 3-1 4-1 5-2 6-3 7-4 0-5 1-5 8-6 10-7 11-8 12-8 9-9 17-10 14-11 15-11 16-12 18-13 23-14 24-14 25-15 26-16 22-17 19-18 20-18 21-18 27-19
In the European Union , the majority of aspects relate to food hygiene and safety , health and nutritional value , as well as certain social requirements .	Euroopa Liidus on enamik küsimusi seotud toiduhügieeni ja -ohutuse , tervislikkuse ja toiteväärtusega , samuti teatud sotsiaalsete nõuetega .	1-0 2-0 0-1 3-1 4-2 6-3 7-3 8-4 9-5 10-5 11-6 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-12 20-13 21-14 22-14 23-14 24-15 25-16 26-17 27-18
After several years , when he had already helped many women , he asked for funding from the European Union in order to expand his work .	Pärast mitut aastat , kui ta oli juba aidanud paljusid naisi , taotles ta Euroopa Liidult raha , et oma tööd laiendada .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 13-12 14-12 12-13 17-14 18-14 16-15 19-15 15-16 20-17 21-18 24-19 25-20 22-21 23-21 26-22
Member of the Commission . - Mr President , I would very much like to thank Ms Hall for a very timely and important report .	komisjoni liige . - Hr president , tahaksin väga tänada prl Halli väga õigeaegse ja tähtsa raporti eest .	2-0 3-0 0-1 1-1 4-2 5-3 6-4 7-5 8-6 9-7 10-7 13-7 11-8 12-8 14-9 15-9 16-10 17-11 19-12 20-12 21-13 22-14 23-15 24-16 18-17 25-18
That is a ridiculous idea , especially since Eurodac could contain a wealth of information in the fight against illegal immigration , international crime and terrorism .	See on naeruväärne idee , eriti kuna Eurodac võiks sisalda hulgaliselt informatsiooni seoses võitlusega ebaseadusliku sisserände , rahvusvahelise kuritegevuse ja terrorismi vastu .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-10 13-10 14-11 15-12 17-13 18-13 19-14 20-15 21-16 22-17 23-18 24-19 25-20 26-22
Negotiations have been long , complex and sometimes tough , but I think we have managed to get an agreement that is satisfactory to all parties .	Läbirääkimised on olnud pikad , keerulised ja vahel rasked , aga arvan , et oleme suutnud jõuda kõiki pooli rahuldavale kokkuleppele .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-11 20-13 13-14 14-14 15-15 16-16 17-16 23-16 24-17 25-18 22-19 18-20 19-20 26-21
If it is addressed to EU leaders , then what has been done until now is adequate and the tight schedule is a good thing .	Kui see on mõeldud ELi liidritele , siis on seni tehtu asjakohane ja ka tihe ajakava on hea .	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 15-8 13-9 14-9 9-10 10-10 11-10 12-10 16-11 17-12 18-13 19-14 20-15 21-16 22-17 23-17 24-17 25-18
It is also important to support modernisation of universities , to emphasise the need for equal access to higher education and to increase its competitiveness .	Samuti on oluline toetada ülikoolide kaasajastamist , rõhutada vajadust kõrghariduse võrdse kättesaadavuse järele ning suurendada selle konkurentsivõimet .	2-0 1-1 0-2 3-2 4-3 5-3 8-4 6-5 9-6 10-7 11-7 12-8 13-8 18-9 19-9 15-10 16-11 17-11 14-12 20-13 21-14 22-14 23-15 24-16 25-17
Member of the Commission . - Mr President , Russia is not only a close neighbour , for us it is a strategic partner .	komisjoni liige . - Härra juhataja , Venemaa ei ole üksnes lähedane naaber - meie jaoks on ta strateegiline partner .	2-0 3-0 0-1 1-1 4-2 5-3 6-4 7-5 8-6 9-7 11-8 10-9 12-10 13-11 14-11 15-12 16-13 18-14 17-15 20-16 19-17 21-18 22-18 23-19 24-20
Mr President , on Wednesday this week , Parliament will discuss the Lisbon Treaty , and citizens will watch this House on these institutional questions .	Hr president , käesoleva nädala kolmapäeval hakkab parlament arutama Lissaboni lepingut ning kodanikud hakkavad täiskogu jälgima seoses nende institutsiooniliste küsimustega .	0-0 1-1 2-2 5-3 6-4 3-5 4-5 9-6 8-7 10-8 11-9 12-9 13-10 14-11 15-11 16-12 17-13 19-14 20-14 18-15 21-16 22-17 23-18 24-19 25-20
Europe should mean union , not separation ; agreement , not multilateralism ; de jure , not de facto ; integration , not ethnic division .	Euroopa peaks tähendama liitu , mitte eraldumist ; kokkulepet , mitte mitmepoolsust ; de jure mitte de facto ; integratsiooni , mitte etnilist jagunemist .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23 25-24
Certainly , I read the papers , but my main responsibility was to look after my children and to do it together with my wife .	Loomulikult loen ma ajalehti , kuid mu peamine kohustus oli hoolitseda oma laste eest ja teha seda koos oma naisega .	0-0 1-0 3-1 2-2 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-10 14-10 15-11 16-12 17-14 18-15 19-15 20-16 21-17 22-17 23-18 24-19 25-20
We must operate transparently ; we should not be afraid of the lobbyists or of their existence , and we should lay down some rules .	Me peame tegutsema läbipaistvalt , me ei tohiks karda lobiste ega nende olemasolu , ja me peaksime kehtestama mõned reeglid .	0-0 1-1 2-2 3-3 4-4 5-5 7-6 6-7 8-7 9-8 10-8 12-9 13-10 15-11 14-12 16-12 17-13 18-14 19-15 20-16 21-17 22-17 23-18 24-19 25-20
We also wish to advance relations between the EU and Moldova , a country in which the Council has already invested a great deal .	Samuti tahame edendada suhteid ELi ja Moldova vahel - riik , millesse nõukogu on juba palju investeerinud .	1-0 0-1 2-1 3-2 4-2 5-3 7-4 8-4 9-5 10-6 6-7 11-8 12-9 13-9 14-10 15-11 16-12 17-12 18-13 19-14 21-15 22-15 23-15 20-16 24-17
It has EU legislation , social dialogue , cooperation , funding , partnership , dialogue , communication ... and that is just one page .	Selles on ELi õigusaktid , sotsiaalne dialoog , koostöö , rahastamine , partnerlus , dialoog , teabevahetus ... ja see on vaid üks lehekülg .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24
Fostering that potential can help solve societal challenges and also to shape Europe 's future in the globalised world , as Mrs Batzeli just said .	Selle potentsiaali edendamine võib aidata lahendada ühiskondlikke väljakutseid ning samuti kujundada Euroopa tulevikku globaliseeruvas maailmas , nagu pr Batzeli just ütles .	1-0 2-1 0-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-10 12-11 13-11 14-12 15-13 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21
Yet those countries , such as Italy or Finland , which have given cultural or regional autonomy to their minorities , have not fallen apart .	Ent need riigid , nagu Itaalia või Soome , kes on andnud oma rahvusvähemustele kultuurilise või piirkondliku autonoomia , ei ole lagunenud .	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 18-12 19-13 13-14 14-15 15-16 16-17 20-18 22-19 21-20 23-21 24-21 25-22
That report was based on the communication from the Commission on ' Migration and mobility : challenges and opportunities for EU education systems ' .	Selle raporti aluseks oli komisjoni teatis " Ränne ja liikuvus : Euroopa Liidu haridussüsteemide ülesanded ja võimalused ” .	0-0 1-1 3-2 4-2 2-3 5-4 8-4 9-4 6-5 7-5 10-5 11-6 12-7 13-8 14-9 15-10 20-12 21-13 22-13 16-14 17-15 18-16 19-16 23-17 24-18
Clearly , that is only possible if everyone really does participate and if we ensure a good living environment , including in developing countries .	Ilmselgelt on see võimalik üksnes siis , kui kõik tõepoolest osalevad ja kui me tagame hea elukeskkonna , sealhulgas arengumaades .	0-0 3-1 2-2 5-3 4-4 1-6 6-7 7-8 8-9 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-15 17-16 18-16 19-17 20-18 21-19 22-19 23-19 24-20
These measures are aimed at maintaining budgetary discipline , guaranteeing compliance with the Stability and Growth Pact and establishing measures to resolve and prevent crises .	Nende meetmete eesmärk on säilitada eelarvedistsipliin , tagades stabiilsuse ja kasvu pakti järgimine ja kehtestades meetmed kriiside lahendamiseks ja ärahoidmiseks .	0-0 1-1 3-2 4-2 2-3 5-4 6-5 7-5 8-6 9-7 13-8 14-9 15-10 16-11 10-12 11-12 17-13 18-14 19-15 24-16 20-17 21-17 22-18 23-19 25-20
However , some of our partners , like the United States , Russia and China , have not joined the International Criminal Court in its work .	Mõned meie partneritest aga , nagu Ameerika Ühendriigid , Venemaa ja Hiina , ei ole Rahvusvahelise Kriminaalkohtuga tema töös liitunud .	2-0 4-1 5-2 0-3 1-3 6-4 7-5 8-6 9-7 10-7 11-8 12-9 13-10 14-11 15-12 17-13 16-14 20-15 21-16 22-16 24-17 23-18 25-18 18-19 26-20
As this House knows , the promise of the Lisbon Treaty is a more coherent , more consistent and hence more effective EU foreign policy .	Nagu siinne täiskogu teab , on Lissaboni lepingu lubadus sidusam , järjekindlam ja seega tõhusam ELi välispoliitika .	0-0 1-1 2-2 3-3 4-4 11-5 8-6 9-6 7-7 10-7 6-8 12-8 13-9 14-9 15-10 16-11 17-11 18-12 19-13 20-14 21-14 22-15 23-16 24-16 25-17
In the European Union we are already looking at these issues within our ongoing work on consumer and mortgage credit and consumer education .	Euroopa Liidus me juba käsitleme neid küsimusi oma jätkuva töö raames seoses tarbijakrediidi ja hüpoteekide ning tarbija harimisega .	1-0 2-0 0-1 3-1 4-2 6-3 5-4 7-4 8-4 9-5 10-6 12-7 13-8 14-9 11-10 15-11 16-12 19-12 17-13 18-14 20-15 21-16 22-17 23-18
