Today , in different ways , we do not wish to die for Darfur , we did not wish to die for Yugoslavia and we do not wish to die for Tibet .	Danes , na drugačne načine , ne želimo umreti za Darfur , nismo želeli umreti za Jugoslavijo in ne želimo umreti za Tibet .	0-0 1-1 2-2 3-3 4-4 5-5 7-6 8-6 6-7 9-7 10-7 11-8 12-9 13-10 14-11 15-12 16-12 17-12 18-13 19-13 20-14 21-15 22-16 23-17 25-18 26-18 24-19 27-19 28-19 29-20 30-21 31-22 32-23
The issue of women , peace and security should become an integral part of the planning and programming of the external financial instruments for democracy and human rights , cooperation and development between peoples .	Vprašanje žensk , miru in varnosti mora postati sestavni del načrtovanja in programiranja zunanjih finančnih instrumentov za demokracijo in človekove pravice , sodelovanje in razvoj med narodi .	0-0 1-0 2-1 3-1 4-2 5-3 6-4 7-5 8-6 9-7 10-8 11-8 12-9 13-9 15-10 16-11 17-12 20-13 21-14 22-15 23-16 24-17 25-18 26-19 27-20 28-21 29-22 30-23 31-24 32-25 33-26 34-27
We have contributed more than 200 experts , police officers , military police officers , diplomats , magistrates and soldiers to most of the European Union 's civilian and military missions .	Prispevali smo več kot 200 strokovnjakov , policistov , vojaških policistov , diplomatov , sodnikov in vojakov za večine civilnih in vojaških misij Evropske unije .	2-0 0-1 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-7 10-8 11-9 12-10 13-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 22-18 27-19 28-20 29-21 30-22 24-23 25-24 26-24 31-25
I believe in freedom , I believe in free trade , and I believe that we should reject protectionism , but competition must be a means for growth .	Verjamem v svobodo , verjamem v prosto trgovino in verjamem , da moramo zavrniti protekcionizem , toda konkurenca mora biti sredstvo za rast .	0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-5 8-6 9-7 11-8 12-9 13-9 10-10 14-11 15-12 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-20 26-21 27-22 28-23
Of course , we could hardly expect perfection from a new country with little European experience , but we could at least expect a minimum degree of sensitivity .	Seveda bi od nove države z malo evropskih izkušenj težko pričakovali popolnost , a pričakovali bi vsaj minimalno stopnjo občutljivosti .	0-0 1-0 2-0 3-1 4-1 8-2 10-3 11-4 12-5 13-6 14-7 15-8 5-9 6-10 7-11 16-12 17-13 18-14 22-14 19-15 20-16 21-16 23-17 24-17 25-18 26-19 27-19 28-20
For a single , clean and safe sky , we need to develop and implement cooperative technical and operational measures , which would make costs effective .	Za enotno , čisto in varno nebo moramo razviti in izvajati skupne tehnične in operativne ukrepe , zaradi katerih bodo stroški učinkoviti .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 9-7 10-7 11-8 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-18 22-19 23-19 24-20 25-21 26-22
As I mentioned , it is not my job to comment on what has been said , but I have listened very carefully to the debate .	Kot sem omenila , ni moja naloga komentirati povedanega , vendar sem razpravi pozorno prisluhnila .	0-0 1-1 2-2 3-3 4-4 5-4 6-4 7-5 8-6 9-7 10-7 11-7 12-8 13-8 14-8 15-8 16-9 17-10 18-11 19-11 25-12 21-13 22-13 20-14 23-14 26-15
As part of the whole process , not only will the European Union 's opportunities have increased after 1 December , but its responsibilities as well .	Kot del celotnega procesa se po 1. decembru ne bodo povečale samo priložnosti Evropske unije , ampak tudi njene odgovornosti .	0-0 1-1 2-1 3-2 4-2 5-3 6-4 17-5 18-6 19-7 7-8 9-9 15-10 16-10 8-11 14-12 11-13 12-14 13-14 20-15 21-16 24-17 25-17 22-18 23-19 26-20
On this point , we must ask the Council and Commission to show openness and continue the negotiations with this country in a constructive manner .	Pri tej točki moramo prositi Svet in Komisijo , naj pokažeta odprtost in naj nadaljujeta s pogajanji s to državo na konstruktiven način .	0-0 1-1 2-2 4-3 5-3 6-4 7-5 8-5 9-6 10-7 3-8 11-9 12-10 13-11 14-12 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-21 24-22 25-23
Europe needs to invest more in science , open up its scientific systems , promote the free movement of researchers , and increase and promote excellence .	Evropa mora več vlagati v znanost , odpreti svoje znanstvene sisteme , spodbujati prosti pretok raziskovalcev ter povečati in spodbujati odličnost .	0-0 1-1 4-2 2-3 3-3 5-4 6-5 7-6 8-7 9-7 10-8 11-9 12-10 13-11 14-12 16-13 17-14 18-14 19-15 20-16 21-16 22-17 23-18 24-19 25-20 26-21
